プレイ人数：2~4人	lartasnej: 2, 3, 4
プレイ時間：約15分～30分	chuvo: 1 ler el 2 
駒を取るはセッカイク (将棋のようなゲーム) の如く、点を取るはタショト (麻雀のようなゲーム)の如く！	laver'i icvergo es cerke xale mal yst edioll'i icvergo es taxot xale!
あなたは役人を登用し、よりよい良い政府を作ることを目指します。	co derok aptumirle melx selene laozia il vynut dznojuli'o.
誰よりも早く、誰よりも強力に組織を結成しましょう！	lecu ils jeteson cierjustel ils alarta!
ゲームの目標	velfeze'd voklisesti
手駒から駒を捨てる・ボード上の駒を動かす・駒を取る。	co amol laver tarka'c lerj surulumergal mal dusnij laver zu mol tark mal icve laver.
これらを繰り返し必要な駒を集めていきます。	fhaotce teles la lex'i mal cierjustel delusen laver
手駒に適切な組合せがあれば、それを公開し、得点を得ることができます。	surulumergal io plelajnef virlarteust mol felx cene kinunsares la lex mal icve yst edioll'i.
いち早く手駒を整え、大得点を目指しましょう！	lecu il jeteson ycax surulumergal mal fergen'artz icvergo loler yst edioll'i!
内容物	letixerlesti
説明書（この冊子です）	kranteerlesti (l'es fqa)
点数用紙幣（一銭:1, 三銭:3, 十銭:10 各12枚)	yst edioll'd jexerrt (fallergen panqa'd sur adit dqa'd sur, anpanqa'd sur's mol anpanqa qa'c)
ボード	tarkasti
投げ棒（竹製の棒：5本）	neoqa'd ciurlusti fon jexyst
駒（緑の「兵」と白の「筆」の2スート、計68個）	laver (lespli "elmer" ad flan "aptumirle warkar" mol mal als io anxantaqa lekqa mol)
ワイルド	flonnersti
ゲームの準備	velfez'i ternejafnavelesti
プレイ人数に応じて、駒を準備します。	lartasnej fonti'a mal ternejafna laver'i.
4人：すべて使用。	iupqa'd larta mol fie als laver'i lius.
3人：すべての「0」を除去。	dqa'd larta mol fie als iu'i afnar.
2人：すべての「0」と2枚の「ワイルド」を除去。	qa'd larta mol fie als iu ad qa'd flonner'i afnar.
ボードを全員の手の届くところに置きます。(A)	als larta'st angvirlal io tark'i amol. (p)
プレイヤーは赤、青、黒、黄から1色を選びボード上の対応する色の辺を担当します。(B)	larta text panqa'd dejix faller ludiex o stoxiet o deln o pevust mal la lexe'd texterl'd dejix'st molol io perne. (b)
ラウンドの準備	paltauil'i ternejafnavelsti
駒を裏返しにしてよく混ぜ、各プレイヤーに9個ずつ配って手駒とします。	fantinupas laver mal naston genycax la lex'i, mal fallerrgen larta letix fentiqa'd laver cixj surulumergal.
手駒は立てて持ち、他のプレイヤーから見ることができないようにします。(C)	deliu surulumergal ta fulxif xelo la lex'i et lartassa's. (m)
残りの駒のうち24個を表向きでボードに置きます。	anfiliumu'd laver fallerj anqa iupqa'd laver'i mak fantinupas mal amol la lexess'i tarka'c.
中央の山（中央の緑マス）には駒を置きません。	sysital licxa (l'es sysital lespli paltau) io amol niv laver'i.
残りの駒は伏せたままにしておきます。(D)	e'st lexiv text anfiliumu'd laver'i fantinupas niv. (c)
スタートプレイヤーとプレイ順を決定します。	lecu snojij fasen larta ad dire's tydiestel.
その時点での獲得点数を比較し、一番少ないプレイヤーがスタートプレイヤーとなります。	e's lelessse yst edioll'i zu fallerrgen larta'st letix fal la lexe'd liestu mal ils jyvied yst edioll'it letixer is fasen larta.
スタートプレイヤーの左右のうち、より点数の少ないプレイヤー方向にゲームが進行します。	shrlo xel fasen larta'd ektir'd larta melx il vers yst edioll'it letixer josxe fasen larta'i.
もし、該当者が複数の場合や、ゲームの最初のラウンドである場合は投げ棒を投げてスタートプレイヤーとプレイ順を決定します。(E)	loler rodesteler'st molil o fasen paltauil io co ciurles mal snojij fasen larta ad dire's tydiestel. (x)
ラウンドの流れ	paltauil's tydiestelesti
ラウンドにおいて、プレイヤーは順に手番を繰り返します。	paltauil io larta fhaotce teles dire fal direrroft.
誰かが「ラウツァイト・セプ！」を宣言した際、得点計算を終えたのちにラウンドが終了し、新たなラウンドが開始します。	fhasfa's "lauzait cep"'i lkurfil io yst edioll veles litarlergo mal dytysn paltauil fas.
プレイヤー数と同じ回数ラウンドを行うか、気が済んだらゲームが終了します。	lartasnej'd paltauil's lusus fie velfez lusus. als larta veles torxlecirmo fie velfez lusus.
手番の流れ	dire's tydiestelesti
プレイヤーは手番において、以下のアクションを順に実行します。	dire io larta teles ny la lexe'd tiurl fal direrroft.
【0~1回】すでに公開している組合せを非公開に戻し、得点を返納する。（心古行新：温故知新）	(iuteust o panqateust) co derokesk virlarteust'i zu xelvin veles kinunsareso mal ladirris yst edioll'i. la lexe'd teleso es "la faxamorlu".
【0~1回】手駒から組合せを1つ公開することで、得点を獲得する。（配属）	(iuteust o panqateust) surulumergal ler co kinunsares panqa'd virlarteust'i mal icve yst edioll'i. la lexe'd teleso es "farnonamolo".
【1回】手駒から駒を一つ捨て、ボード上の駒を動かして駒を獲得する。（登用）	(panqateust) co amol panqa'd laver tarka'c mal dusnij laver zu mol tarka'c mal icve laver'i. la lexe'd teleso es "deroko"
【0~1回】勝利点を得て、ラウンドを終える。（ラウツァイト・セプ！）	(iuteust o panqateust) co icve yst edioll'i molkka'dy mal lusus paltauil. (lauzait-cep!)
登用アクションを必ず行うことに注意してください。	shrlo liorwel falx korlixtel lot teleso deroko'i.
登用（必ず行う）	derokosti (korlixtel lot teles)
手駒から駒を一つ捨て、ボード上の駒を動かして駒を獲得します。	co amol panqa'd laver'i tarka'c mal dusnij laver'i zu mol tarka'c mal icve laver'i.
捨てた駒はボード上の空きマスに置きます。	amolil io co amol laver'i pernefeal paltau'c.
移動できる駒は、捨てた駒と同じ色で数字が一つ大きい、あるいは一つ小さい駒です。	co cene dusnij laver'i zu letix amolerl'd dejix ad dieniep zu es loler o vers lej amolerl'd dieniep fal panqa.
駒を捨てても駒が移動できないような状態を作ることは禁止です。	co amol laver'i tarka'c pelxiv cene dusnij laver'i. fe laozia la lexol.
駒は周囲8マスに動くことができます。	cene laver tydiest fal lekqa'd polto z'es paltau fon ferkamolal.
通常、動いた先の駒を獲得します。	farfel io co icve laver'i zu mol co'st dusnijerl tydiestala'c.
山（中央の緑マス）からの移動	licxa (l'es sysital lespli paltau) ler tydiestilesti
山にいる駒はタム神の力を得て、より多くのマスに動くことができるようになります。	licxa'c lex mol laver icve anfi'ergeffe lerj tam melx cene tydiest loler paltau'c.
動き方は下の図のように「タム」の字（皇）のように動きます。	tydiesel es ny la lexe'd cerneclek xale mal es tama'd lyjot xale.
間にある駒は無視して動くことができます。	licxa ler laver's cene xelnkan ingglimen laver'i.
水（水色マス）へ移動するとき	tydiestilesti ietosta'l (l'es varnen paltau)
水に移動することは難しいです。	ietosta'l tydiesto es snietij.
駒を動かして水にいる駒を取ろうとする場合、投げ棒を投げる必要があります。	co dusnij laver'it melx selene icve laver zu mol ietosa'c. deliu co ciurles fal la lexol.
0~2の場合は移動していた駒を取ります。	ciurleserl es 0 o 1 o 2 fie co icve dusnijerl.
3~5の場合は移動先の駒を取ります。	ciurleserl es 3 o 4 o 5 fie co icve laver zu mol dusnijerl tydiestala'c.
ワイルドの取り扱い	liuselesti flonner'i
ワイルドは他の駒の代わりに使うことができます。	cene co lius flonner'i fal et laver'd fao.
つまり、手駒からワイルドを捨てた場合はボード上のどの種類の駒を動かしてもよいです。	zu, cene co dusnij fhasfa'd laver'i zelx mol tarka'ct i fal flonner'it amolil.
また逆に、ボード上のワイルドは、どんな種類の駒を捨てても動かすことができます。	la lexe's naciserl iolx, cene dusnij flonner'i zu mol tarka'c falx amolil co'st fhasfa'd laver'it.
配属（最大1回、行わなくてもよい）	farnonamolosti (cene co teles fal iu o panqa'd liestu)
手駒に３個の駒からなる特定の組合せがある場合、このアクションを行うことができます。	surulumergal io dqa'd laver laozia plelajnef virlarteust'i felx cene co teles fqiu teleserl.
その組合せを1つ公開し、ボーナス点を得ます。	co kinunsares la lexe'd virlarteust'i mal icve vaxelferl
公開した駒は手駒の一部として振舞いますが、温故知新アクションで非公開に戻さない限り捨てることができなくなります。	kinunsareserl es surulumergalasta pelxiv cene co amol laver'i zu mol kinunsareserle'c. co derokesk kinunsareserl fie mak amol laver'i zu mol la lexe'c.
3個セット	dqarmenasti
同じ色、同じ数字3つ	la lex letix dqa'd laver fon dejix panqa'dy ad dieniep panqa'dy.
3個連番	dqarleijusti
同じ色、連続する数字3つ	la lex letix dqa'd laver fon dejix panqa'dy ad dieniep olovenj.
（端同士の数は繋がらない）	(dieniepe'st olovol niv es xale rafte.)
ボーナス点	vaxelferlesti
組合せのうち、最も大きい数の駒に対応するボーナス点を獲得します。	co xel laver'i zu letix kinunsareserl les xerf dieniep i mal icve la lexe'd vaxelferl.
ボーナス点は駒に書かれている点の数です。	vaxelferl'd murtmir daliues murtmir'c larl'dy zu mol fal laver.
ワイルドを最も大きい数の代用にしている場合は、代用している数に対応するボーナス点を獲得します。	co lius flonner fal ils xerf dieniep fie icve la lexe'd vaxelferl.
組合せが3個セットの場合は、ボーナス点は3倍となります。	virlateust es dqarmena fie vaxelferl veles dqatvaveso.
ワイルドカードが組合せにある場合、ボーナス点を計算したのち、1枚につき-1点します。	flonner mol virlateustu'c fie vaxelferl'it litarlergon ny atakes panqa a panqa'd flonner.
ボーナス点が0点を下回ることはありません。	vaxelferl niv es fav iu le vers.
ボーナス点計算例	klirmasti fon litarlergo vaxelferl
最大の数は5。	les xerf dieniep es neoqa.
5は2点を生むので、ボーナス点は2点。	neoqa laozia qa'd vaxelferl mag no io vaxelferl es qa.
最大の数は3として振舞っているワイルド。	les xerf dieniep es dqa zu flonner flonn.
3は1点を生み、3個セットは3倍であるので3点。	dqa laozia panqa'd vaxelferl mal dqarmena dqatvaves vaxelferl. mag no io dqa'd vaxelferl veles laoziavo.
ワイルドが1枚あるので、ボーナス点は2点。	panqa'd flonner mol mal no io cirlaen vaxelferl es qa.
ラウツァイト・セプ！	lauzait-cep!
3つの組合せをすでに公開している場合、そのプレイヤーは「ラウツァイト・セプ！」と宣言して追加で勝利点を得ることができます。	larta xelvin kinunsares dqa'd virlateust felx cene lkurf "lauzait-cep" mal icve yst edioll'i molkkavo'dy.
あるいは特例として、手駒を一切公開していない状態で手駒の中に3つの組合せが成立している場合にも、「ラウツァイト・セプ！」と宣言して勝利点を得ることができます。	fhanka io, kinunsareso lexiv veles dqa'd virlateust mol surulumergal'c felx cene co lkurf "lauzait-cep" mal icve vaxelferl.
この際はボーナス点を得ず、勝利点のみを得ます。	la lexe'd na io shrlo icve yst edioll'i molkkavo'dy lap. (fe icve vaxelferl.)
勝利点一覧	melfertalasti fon yst edioll molkkavo'dy
ラウツァイト・セプ	lauzait-cep
専門家委員会	lafirmeterss
全ての駒が同じ色	als laver'd dejix es daliu. 
大行列	xerf leiju
9個の連続する数	fentiqa'd oloven dieniep
重なり橋	sliejsesen qornalc
手駒の中に、同じ数からなる組合せ2個が存在	surulumergal io qa'd virlateust mol mal la lexess nasteon letix daliu dieniep.
同じ色である必要はなく、3個セットでも3個連番でもいい	 cene la lexess letix waxesen dejix mal es dqarmena o dqarleiju.
筆兵無傾	aptumirle warkar ad elmer
筆と兵のそれぞれの数の合計が等しい	aptumirle warkarssa'd terk ad elmersse'd terk es daliu.
（ワイルドは数として見ない）	(flonner es niv dieniep)
闇戦之集	kafi'a mol niv
手詰まり。	zuilesti elx cene niv es fhasfa.
仮に温故知新アクションを行っていたとしても、登用アクション時に捨てることができる駒がない場合。	co teles la faxamorlu felx cene amolerl elx mol niv. la lex io co'd surulumergal es "kafi'a mol niv".
闇戦之集は手駒にある組合せに関わらず、「ラウツァイト・セプ！」を宣言する特殊な場面です。	"kafi'a mol niv" es fhanka na melx mole larta lkurf "lauzait-cep" fal la lex.
「ラウツァイト・セプ！」が宣言された場合、得点を集計したのち、ラウンドが終了します。	larta lkurf "lauzait-cep" fie litarle yst edioll'i mal paltauil lusus. 
そのラウンドがゲームの最終ラウンドでない場合、「ラウンドの準備」に戻って新たにラウンドを始めます。	la lexe'd paltauil es niv lesbacka'd paltauil fie snusnij el "paltauil'i ternejafnavel" mal mak fas dytysn paltauil.
温故知新（最大1回、行わなくてもよい）	la faxamorlusti (cene co teles fal iu o panqa'd liestu)
まれに、過去に配属アクションを行いボーナス点を得たことを後悔することがあります。	co flivi'a es lypito'i fal icvergo vaxelferl'it fal nestil.
そういった場合には、温故知新アクションを行うことができます。	cene co teles la faxamorlu fal la lexol.
これを行う際、すでに公開した組合せ1つを非公開に戻し、公開時に得たボーナス点を返納することになります。	la lex'i telesil io larta derokesk panqa'd virlarteust'i zu xelvin kinunsares i mal ladirris vaxelferl.
返納は正しく行う必要があります。	vaxelferl elx deliu julesnon veles ladirriso.
例えば、[2][3][ワイルド]を公開して2点を得たのちに、[ワイルド][2][3]を1点の返納で温故知新してはいけません。	klirma io ny la lex es niv farmesen. e kinunsares [2] ad [3] ad [flonner] mal icve qa'd vaxelferl mal es la faxamorlusti fal [flonner] ad [2] ad [3] mal ladirris panqa'd vaxelferl.
不正受給は厳しく罰せられるべきなのです。	deliu miss cafi'anaschon jacamalain andi'an icvergo.
ゲームの終了	velfez'i lususilesti
プレイヤー数と同じだけラウンドを行うか、全員の気が済んだらゲームが終了します。		lartasnej'd paltauil's lusus fie velfez lusus. als larta veles torxlecirmo fie velfez lusus.
その時点で最も点数の高いプレイヤーの勝利です。	la lexe'd liestu io ils xerf yst edioll'i lex letix larta molkka.
複数いる場合、その全員が勝者になります。	loler rodesteler'st molil io la lexe'd als molkka.
追加ルール	stonexosti nuukirna'it
慣れてきたら以下のルールを追加してみましょう。	co vilarti lauzait-cepe’d niukirna'i felx cene co stonex ny la lexe'd niukirna.
準備後、残っている駒のうち1つを表に向けて、その駒を光駒とします。		fasta ternejafnavo,  co mak fantinupas anfiliumu'd laver’d panqa mal la lex is kafi'arlaver'c 
光駒が手駒にある状態で「ラウツァイト・セプ！」を宣言した場合、1枚につき1点を獲得します。	surulumergal io kafi'arlaver molil io co lkurf "lauzait-cep" fie icve panqa a panqa'd kafi'arlaver.
お寄せいただいた質問	miss l'icve nuniumusti
初版出版後にわが社に寄せられた質問について紹介します。	fqa io kverniacel nunium zu missen leryn icve fasta larchacfsil falvelta panqatej.
ご協力感謝します。	xace fua nuno
組合せ公開時とラウツァイト・セプ宣言時でワイルドを別の駒として扱ってよいか。	virlateust'it kinunsaresil ad "lauzait-cep"'it lkurfil iolx cene flonner is et laver?
― ペデ郡　アディン・ガトゥ・バニワイム 	liardial - ardin ghartu barniwaim
よい。	ers vynut.
水から水への移動時、投げ棒は必要か。	tanna ler tanna'l tydiestil iolx deliu ciurles n?
― クワケ郡　タム・アイクキー	skurlaval - tam.aikkir
標準セッカイクとは異なり、必要。	la lex waxes cerke'd celterno'c melx mole co ciurles.
ルールの簡易化を図った。	mi fyrfsykes niukirna'i.
ワイルドを用いて高く配属し、安く温故知新してよいか。	mi lius flonner'i mal icve xerf vaxelferl'i. cene mi teles la faxamorlu mal ladirris elx vers vaxelferl'i fal la lex?
― クティヤ郡　カジカ・レレダパ 	kutija - kasika.rieliedafa
ゲームが無茶苦茶になる。	velfez korlixtel lot is neferl.
本版では加筆した。	noen falvelta io miss stonex niukirna.